amerikanische americana
elizabeth elizabeth
flucht fuga
nähe proximidades
ausführung execução
produktionen produções
sang cantou
tropischen tropicais
zirkus circo
f f
unterarten subespécies
einheiten unidades
begleitet acompanhado
überwinden superar
schwangerschaft gravidez
idaho utah
gene gene
geholt saído
flughäfen aeroportos
beyond beyond
ungeachtet despeito
fan fã
usa eua
werft estaleiro
salt salt
anwenden aplicar
schaut olha
osmanen otomanos
persönlichen pessoais
lanka lanka
laien leigos
pittsburgh pittsburgh
tanz dança
äquivalent equivalente
tennis tênis
dream dream
ethnischen étnicos
schlagzeuger baterista
watch watch
dörfer vilas
behielt manteve
arabisch árabe
letters letters
ku ku
normandie normandia
border border
deinen meus
idee idéia
joan joan
mystery mystery
beschrieb descreveu
blieben permaneceram
freunden amigos
vampire vampire
reformen reformas
gewinnen ganhar
charakteristisch característico
faktor fator
unterstützt apoiado
link link
zelle célula
kollege colega
familie família
auguste auguste
sandra amanda
beginnend começando
side side
vampir vampiro
leid sofrimento
stadion estádio
tänzerin dançarina
will quer
truppen tropas
damaskus damasco
simulation simulação
→ →
sagte disse
iucn iucn
katholischen católica
culture culture
town town
autonomen autônoma
moon moon
enzyklopädische enciclopédica
pour pour
function function
meist geralmente
dr dr
stadt cidade
mund boca
nacht noite
brust peito
brigade brigada
fire fire
detroit detroit
oxford oxford
dort onde
vorschläge propostas
lucia lucia
tiefen profundos
ve ve
display display
ereignete ocorrida
tante tia
schaffung criação
architektur arquitetura
reflexion reflexão
ständigen permanentes
käse queijo
sicherte garantiu
taufe batismo
series series
energy energy
ausdruck expressão
fields fields
sir sir
isabel jacqueline
indien índia
klub clube
unvollständig incompleto
tonnen toneladas
automatische automático
fehlern erros
km/h km/h
transportieren transportar
down down
zwischen entre
michigan michigan
studieren estudar
stella stella
entwickelten desenvolveram
afc afc
mentor mentor
realismus realismo
restliche restante
schritten passos
versuchte tentou
project project
produzierte produziu
zusätzlich adicionalmente
beispiel exemplo
kontroversen polêmicas
ki ki
durchgeführt realizado
bruch ruptura
antreten disputar
codex codex
productions productions
schützen proteger
resultat resultado
ausgerüstet equipado
derzeitigen atuais
bäume árvores
entschied decidiu
fähig capaz
presse imprensa
göttlichen divina
high high
handschriften manuscritos
rogers rogers
einzig única
glücklich feliz
wunder milagre
schriftsteller escritor
via via
ernährung nutrição
vermarktet comercializado
kabarettist humorista
pan pan
jeanne jeanne
ganze inteira
genau exatamente
cool cool
canadian canadian
julius júlio
ökologie ecologia
death death
tatsächlich realmente
folgten seguiram
number number
wahre verdadeira
institut institut
keine nenhuma
vorkommt encontrada
tanzen dançar
var var
inneren interna
teile partes
berufen titular
gemeinden municípios
wusste sabia
alben álbuns
felix felix
interpretationen interpretações
countys condados
beschleunigung aceleração
lächerlich ridículo
unbekannten desconhecidos
erziehung educação
entlassung demissão
tu tu
match match
franken francos
krönung coroação
sommer verão
porsche porsche
hills hills
direkte direta
gramm gramas
berg monte
bologna bolonha
sie ela
maximal máximo
major major
konzept conceito
ähnliche similares
off off
nachricht mensagem
enorme enorme
absteigen rebaixado
jin jin
konflikt conflito
hexe bruxa
meer mar
burgund borgonha
special special
stammende oriundo
mittelmeer mediterrâneo
verwendeten utilizados
sandstein granito
erdöl petróleo
passiert corre
stolz orgulho
erringen conquistar
position posição
inspiriert inspirado
dunkle escuro
havanna havana
integrieren incorporar
mare mare
hoffe espero
palazzo palazzo
theologe teólogo
zahlreichen numerosos
mittelfeldspieler zagueiro
statistik estatística
prozessen processos
partner parceiro
katzen gatos
kapitän capitão
positiven positivos
faktoren fatores
vertrieben distribuído
business business
videos vídeos
marx marx
work work
zitierte citou
bands bandas
gehört pertence
durchgesetzt adotado
grad graus
serien séries
prof prof
tödliche fatal
alain alain
dramatiker dramaturgo
verhindern impedir
besatzung tripulação
absicht intenção
antwortet responde
wartung manutenção
brücken pontes
vier quatro
oberst coronel
verfügt dispõe
secret secret
playstation playstation
kosovo kosovo
steven jeffrey
erfahrungen experiências
soul soul
chaos caos
herman herman
verschwörung conspiração
temperaturen temperaturas
existierte existiu
helden heróis
schildert narra
gelang conseguiram
sydney sydney
sitzen assento
