explicitly explizit
allies verbündeten
sent schickte
consisting bestehend
corner ecke
dies stirbt
bird vogel
view ansicht
ions ionen
mexico mexiko
deported deportiert
brad ralf
félix félix
alonso alonso
maritime maritime
separately separat
advertising werbung
estimates schätzungen
spatial räumliche
palestine palästina
flew flog
hands händen
korea südkorea
interpret interpretieren
treat behandeln
instituto instituto
hide verstecken
meeting treffen
command kommando
seems scheint
depot depot
gen general
disputed umstritten
rhetoric rhetorik
croix croix
championship meisterschaft
enables ermöglicht
medals medaillen
singles singles
walt walt
wife ehefrau
revolution revolution
won gewann
journey reise
server server
pope papst
competitions wettbewerben
clear klaren
interview interview
diesel diesel
prima prima
jp full
childhood kindheit
systems systeme
principality fürstentum
andrea andrea
gothenburg göteborg
americas lateinamerika
marseille marseille
economy wirtschaft
feelings gefühle
andersen andersen
rex rex
associations vereinigungen
pure reines
substances substanzen
justice justice
bar bar
browser browser
lu lu
and/or und/oder
flag flagge
parish pfarrei
partners partnern
foreign ausländische
communism kommunismus
roof dach
cv cv
previous vorherigen
unesco unesco
solved gelöst
infrastructure infrastruktur
appearance auftritt
killed getötet
freely frei
ricky pete
slovenian slowenischen
eds hg
historically historisch
encyclopaedic enzyklopädischer
altar altar
series serie
hurricane hurrikan
sustainable nachhaltige
rename umbenennen
anglo anglo
vicinity nähe
traditionally traditionell
frost frost
une une
writes schreibt
we wir
bankruptcy insolvenz
required erforderliche
rita rita
solutions lösungen
depiction darstellung
seemed schien
geneva genfer
stockholm stockholm
https https
according laut
website webseite
false falscher
syndicated sendungen
gods götter
stone stein
each jeweils
g g
flight flug
quo quo
laser laser
actress schauspielerin
congressional landtags
revenues einnahmen
curator kurator
madame madame
temple tempels
ii ii
edge rand
diagram diagramm
airways airways
broken gebrochen
revision revision
sorts solche
channel channel
barcelona barcelona
hanged hingerichtet
coached trainierte
nature natur
operations operationen
experience erfahrung
cheese käse
agricultural landwirtschaftliche
rescued gerettet
paris paris
dubai dubai
finished verpasste
factories fabriken
bce chr
bertrand bertrand
knight ritter
homage hommage
quebec kantons
interviews interviews
employee angestellte
stefan stefan
officer offizier
castles burgen
strength stärke
verse vers
hey hey
constituency wahlkreises
techniques techniken
franchise franchise
disability behinderung
company firma
pearl pearl
average durchschnittliche
skull schädel
teaches lehrt
chemical chemische
hc hc
resurrection auferstehung
after nachdem
two zwei
jury jury
fi fi
growth wachstum
variation variation
quartet streichquartett
grow wachsen
czechoslovak tschechoslowakischen
delta delta
producers produzenten
southwest nordwestlich
rectangular rechteckigen
beaten geschlagen
origin herkunft
theologian theologe
olympic olympischen
cell zelle
acceptable akzeptabel
classes klassen
insect insekten
tsar zaren
kosovo kosovo
part teil
em em
pc pc
ben ben
giovanni giovanni
reading lese
brothers brüder
helped förderte
influenced beeinflusste
protestant protestantische
kazakhstan kasachstan
tracks tracks
policeman polizist
bulgarian bulgarischen
police polizei
majority mehrheit
rachel rachel
presently gegenwärtig
industrial industrielle
measuring misst
extinct ausgestorben
negative negative
pronunciation aussprache
apostolic apostolischen
steward verwalter
triggered ausgelöst
kidnapped entführt
sentenced verurteilt
assert begründen
remaining verbleibenden
build bauen
sick kranke
topics themen
notified beantragt
generating erzeugte
salon salon
deed urkunde
visited besuchten
product produkt
sorting sortierung
terra terra
reno rosenheim
indeed keineswegs
language sprache
batteries batterien
treated behandelt
henry heinrich
older älteren
conventions konventionen
car auto
whose dessen
allegations vorwürfe
darkness dunkelheit
regarding bezüglich
chemist chemiker
access zugang
rejection ablehnung
memorial memorial
goddess göttin
generates erzeugt
twice zweimal
desired gewünschte
altogether gänzlich
damascus damaskus
article artikel
climate klima
princes fürsten
chan chan
location standort
naples neapel
portals portale
american deutscher
needing sonstiges
circus zirkus
libya libyen
abused missbraucht
matthias matthias
xvi xvi
female weibliche
mare mare
astronomy astronomie
lotus lotus
conviction verurteilung
textbook lehrbuch
mainly hauptsächlich
bishop bischof
remix remix
data daten
suspicion verdacht
musicians musikern
size größe
chess schach
axis achse
romans römer
reaction reaktion
phenomena phänomene
purely rein
offers bietet
airlines airlines
developed entwickelt
additional zusätzliche
greek griechischen
reduction reduzierung
exercises übungen
debut debüt
fact tatsache
impossible unmöglich
tunisia tunesien
ak ak
surrounding umgebenden
economics wirtschaftswissenschaften
head spitze
unchanged unverändert
leo leo
shares anteile
melody melodie
cyprus zypern
rings ringe
drv löschprüfung
jesse jesse
adam adam
humans menschlichen
étienne étienne
officially offiziell
writings schriften
infobox infobox
best beste
liturgy liturgie
stars sternen
pleased zufrieden
coach trainer
colonel oberst
played spielte
ethiopia äthiopien
method methode
faster schneller
nazis nazis
infantry infanterie
png png
banker bankier
wishes wünscht
body körper
section abschnitt
ltd ltd
customers kunden
skin haut
verona verona
gregory gregor
anyway sowieso
luck glück
biography biografie
jpg jpg
ordinary gewöhnlichen
wave welle
shorts shorts
edgar edgar
review rezension
°c °c
master master
filmed gedreht
sorted sortiert
thousand tausend
mozart mozart
magnus magnus
julius julius
symbol symbol
bridges brücken
completion fertigstellung
sharply scharf
del del
theories theorien
hand hand
reinforced verstärkten
het het
twelve zwölf
turbo turbo
intel intel
employer arbeitgeber
governorate gouvernement
caused verursachte
gee weiss
psychology psychologie
dan dan
consul konsul
lover geliebte
honored geehrt
grain getreide
hawaii hawaii
closer näher
organist organist
loss verlust
tobias tobias
prove beweisen
jail gefängnis
remain bleiben
mafia mafia
hatred hass
thirteen dreizehn
centuries jahrhunderte
understood verstanden
connections verbindungen
conductors dirigenten
nobleman adliger
russia russland
possibly möglicherweise
settlements siedlungen
compositions kompositionen
worked arbeitete
movements bewegungen
fought kämpfte
holland holland
combinations kombinationen
families familien
copy kopie
qualify qualifizieren
stella stella
difference unterschied
uefa uefa
uss uss
honorary ehrenmitglied
units einheiten
pointless sinnlos
information informationen
products produkte
swing swing
pan pan
usb usb
crucial entscheidende
ultimately letztlich
sections abschnitte
dutch niederländische
group gruppe
example beispiel
praise lob
stairs treppe
forestry forstwirtschaft
juan juan
//books //books
rotterdam rotterdam
mini mini
imho imho
les les
photographs fotografien
watch watch
japan japan
doris doris
systematic systematische
drops steigt
farewell abschied
cynthia sylvia
actor schauspieler
relationship beziehung
sock socke
gate gate
suffered erlitt
above oben
future zukünftigen
sixth sechsten
continued setzte
leningrad leningrad
constantine konstantin
usually üblicherweise
sharp scharfe
dog hund
elsewhere anderswo
wines weine
amsterdam amsterdam
for für
buddhism buddhismus
everything alles
font font
gasoline benzin
bind binden
economically wirtschaftlich
mathematical mathematische
agriculture landwirtschaft
annals annalen
mobile mobile
financially finanziell
episodes episoden
tenor tenor
nicolas nicolas
abel abel
defeated besiegte
comprises umfasst
brigadier brigadegeneral
excavations grabungen
illustrator illustrator
luna luna
division division
affected betroffen
ft ft
youngest jüngste
villa villa
gm gm
rebels rebellen
map karte
mechanics mechanik
alcohol alkohol
promised versprach
operated betrieben
uploaded hochgeladen
separation trennung
light licht
explanations erklärungen
extent ausmaß
right rechten
radical radikale
tremendous enorme
fanny fanny
philippines philippinen
army armee
farmland landwirtschaftlich
inner inneren
announcement ankündigung
mama mama
duke herzog
peterborough gallen
implementing umsetzung
wants möchte
communication kommunikation
