manœuvres manovre
libéraux liberali
lettonie lettonia
phares fari
sculpture scultura
avoir aver
dirigea diresse
clark clark
madison madison
extraction estrazione
froide fredda
totalement totalmente
belle bella
traverser attraversare
restent rimangono
prit assunse
las las
extérieures esterne
chute caduta
difficilement difficilmente
espagnole spagnola
bavière baviera
engagée impegnata
sculpteur scultore
funk funk
personnellement personalmente
câble cavo
terminal terminal
escalier scalinata
dispose dispone
quartier quartiere
apparait compare
monroe monroe
design design
carroll carroll
européens europei
derrière dietro
bratislava bratislava
déclarée dichiarata
saint san
nombre numero
faith faith
santos santos
council council
activement attivamente
individuel individuale
étranger estero
ce questo
gardiens guardiani
rapports rapporti
voyant vedendo
sens senso
administrative amministrativa
producteur produttore
holmes holmes
mêmes stessi
aider aiutare
monteur montatore
vol volo
treize tredici
rivalité rivalità
vendre vendere
publiées pubblicate
briques mattoni
décider decidere
fief feudo
big big
northern northern
préfixe prefisso
eye eye
administrateurs amministratori
exceptionnel eccezionale
exception eccezione
saragosse saragozza
arms arms
partiellement parzialmente
monster monster
gardner gardner
classés classificati
schéma schema
potter potter
ji ji
remix remix
wallace wallace
théories teorie
earl earl
club club
albert albert
entrepreneurs imprenditori
danse danza
guérison guarigione
research research
pierres pietre
forteresse fortezza
truth truth
fm fm
maritimes marittime
jeunes giovani
suédois svedese
jazz jazz
radicalement radicalmente
mao mao
frontières frontiere
figaro corriere
contraint costretto
ruiz ruiz
indonésie indonesia
seule unica
scénariste sceneggiatore
résolution risoluzione
rendu reso
labels etichette
renouvelé rinnovato
pérou perù
racine radice
little little
circonstances circostanze
meilleure migliore
baltimore baltimora
italien francese
sur sul
annexion annessione
por por
vacances vacanze
colloque convegno
protocole protocollo
parenté parentela
recette ricetta
view view
age age
candidats candidati
planet planet
ports porti
là lì
sourire sorriso
odyssée odissea
remporta vinse
murphy murphy
morceaux pezzi
wing wing
établissant stabilendo
améliorée migliorata
trompette tromba
natural natural
relations relazioni
dans nella
algorithme algoritmo
aéronefs aeromobili
royal royal
contributions contributi
dominante dominante
passés passati
connaissance conoscenza
écrire scrivere
taureau toro
samuel samuel
foires fiere
diffusés trasmessi
procédures procedure
copyright copyright
générer generare
tirer sparare
mercenaires mercenari
sérieusement seriamente
siècles secoli
abattu abbattuto
serment giuramento
attentat attentato
starr starr
sergueï sergej
archipel arcipelago
bénédictins benedettini
attirer attirare
copie copia
calculs calcoli
fire fire
héritier erede
bangkok bangkok
hasard casualmente
reçoit riceve
colomb colombo
gras grasso
pauvre povero
rebelle ribelle
courants correnti
collaborer collaborare
huile olio
renaissance rinascimento
coloniales coloniali
barrière barriera
informations informazioni
blocs blocchi
composée composta
yves maurizio
foire fiera
partir partire
micro micro
hr hr
date data
acteur attore
axel axel
problématiques problematiche
douglas douglas
était era
dispositifs dispositivi
artillerie artiglieria
midnight midnight
bombardements bombardamenti
troie troia
rythmique ritmica
engagées impegnate
évangile vangelo
océan oceano
spectre spettro
traction trazione
voleur ladro
démoli demolito
marie maria
secondaires secondarie
flammarion feltrinelli
considéré considerato
sam sam
dedans dentro
consécutives consecutive
bridge bridge
réussi riuscito
fritz fritz
magnétique magnetico
contrebasse contrabbasso
anneaux anelli
holding holding
plaines pianure
photographique fotografica
adventure adventure
secte setta
coefficient coefficiente
abandon abbandono
dents denti
civilisation civiltà
exposée esposta
estonien estone
facteur fattore
nuances sfumature
compagnie compagnia
études studi
cardiaque cardiaco
swing swing
enfer inferno
speed speed
précurseur precursore
animée animata
sicile provenza
rotation rotazione
sergent sergente
indépendamment indipendentemente
intégré integrato
positive positiva
autrui altrui
limousin calabria
tokyo tokyo
flag flag
multiple multiple
frederick frederick
offrir offrire
mutation mutazione
deux due
latérale laterale
transports trasporti
aliments alimenti
want want
virus virus
déplacement spostamento
panique panico
mois mese
community community
introduction introduzione
psychologique psicologico
uranium uranio
percy percy
warriors warriors
can can
tommy tommy
argent argento
blessures ferite
démon demone
célébrer celebrare
church church
participations partecipazioni
commerçants commercianti
fonder fondare
instant istante
provoqué provocato
déroute disfatta
elle essa
russie russia
blake blake
signaux segnali
rangée fila
avec con
stade stadio
talk talk
mâle maschio
bob bob
pékin pechino
objectif obiettivo
métal metallo
bec becco
connexes correlate
pape papa
toulouse palermo
paz paz
appelée chiamata
crise crisi
unité unità
choc urto
omega omega
collectionneur collezionista
paysage paesaggio
héritage eredità
districts distretti
soumis sottoposti
auf auf
sagesse saggezza
xbox xbox
conan conan
forbes forbes
empereur imperatore
morgan morgan
téléphone telefono
principe principio
parcourt percorre
ambassade ambasciata
composé composto
evil evil
disques dischi
dut dovette
north north
employés impiegati
suisses svizzeri
descendance discendenza
naval naval
vinyle vinile
sciences scienze
dictature dittatura
considérée considerata
agricole agricolo
disons diciamo
aussitôt prontamente
cours corso
fromage formaggio
intéressé interessato
martha martha
mange mangia
poursuit prosegue
atmosphère atmosfera
dire dire
ordonna ordinò
cv cv
belge belga
grecs greci
rus rus
surfaces superfici
conseille consiglia
antiquité antichità
souvent spesso
vivre vivere
perth perth
your your
expertise consulenza
mammifères mammiferi
pavillon padiglione
gros grosso
beatles beatles
plasma plasma
liberty liberty
conclure concludere
rédaction redazione
devise motto
adrian adrian
van van
envoi invio
étudie studia
diamond diamond
nucléaires nucleari
argentin argentino
pat pat
willis willis
tambour tamburo
frontière confine
vecteurs vettori
minimale minima
qui che
brown brown
paru pubblicato
renforts rinforzi
proposant proponendo
égide egida
humain umano
usages usi
fantastiques fantastici
rio rio
round round
série serie
défensive difensiva
molécule molecola
mvp mvp
parfum profumo
ennemie nemica
baker baker
division divisione
personnage personaggio
baron barone
corps corpo
dangereuse pericolosa
colonnes colonne
walt walt
trio trio
chimiste chimico
abri riparo
buffalo buffalo
bord bordo
im im
louisiane louisiana
choice choice
question questione
automne autunno
petites piccole
commandée comandata
dotation dotazione
stone stone
percussions percussioni
aus aus
faisant fa
blanc bianco
soient siano
tunis tunisi
sondage sondaggio
soumission sottomissione
wp wiki
mineurs minori
service servizio
atomique atomica
tara tara
sanctions sanzioni
comprise compresa
article articolo
accomplir compiere
pseudo pseudo
régionaux regionali
déroule svolge
solide solida
otage ostaggio
dignité dignità
conflits conflitti
toul aquileia
édition edizione
empreinte impronta
ont hanno
port porto
junior junior
déclarations dichiarazioni
survivants sopravvissuti
rico rico
considère considera
circonscriptions circoscrizioni
rafael rafael
enregistré registrato
ms ms
gallery gallery
formations formazioni
demain domani
avènement avvento
chimie chimica
gustav gustav
cuisson cottura
contrer contrastare
kit kit
interprètes interpreti
commencé iniziato
réactions reazioni
professionnelles professionali
judith judith
yann daniele
subit subendo
père padre
tragédie tragedia
barrage diga
oscar oscar
position posizione
seuil soglia
adaptation adattamento
combinaisons combinazioni
tunnel tunnel
philipp philipp
précoce precoce
android android
passer passare
poitrine petto
underground underground
capacité capacità
possèdent possiedono
relégué retrocesso
benz benz
vendredi venerdì
entièrement interamente
orchestre orchestra
return return
possibles possibili
auguste augusto
élevés elevati
multi multi
formules formule
mosquée moschea
imaginer immaginare
articles articoli
ecclésiastique ecclesiastico
érection erezione
telles altre
couverture copertura
morning morning
érigée eretta
feu fuoco
bayern bayern
gaspard marcantonio
foot foot
millénaire millennio
bar bar
propos proposito
hand hand
dépôts depositi
saturne saturno
festival festival
habitude abitudine
linnaeus linnaeus
common common
désespoir disperazione
prévenir prevenire
sept sette
version versione
ordinaire ordinario
doyle doyle
longueur lunghezza
liens collegamenti
w w
organisation organizzazione
dictionary dictionary
divisions divisioni
récompense ricompensa
lisse liscia
critique critica
originaires originari
directeur direttore
équilibre equilibrio
bains bagni
musical musicale
avion aereo
trophées trofei
marbre marmo
matthias matthias
jamais mai
révolution rivoluzione
classic classic
anime anime
fouilles scavi
orchestres orchestre
commune comune
karel karel
trop troppo
commencèrent iniziarono
héraldique araldica
actives attive
animé animato
guerriers guerrieri
acides acidi
ultra ultra
éditoriale editoriale
yougoslavie jugoslavia
noces nozze
examens esami
fossiles fossili
fréquences frequenze
point punto
fuseau fuso
montrant mostrando
air aria
ovale ovale
riley riley
chapitres capitoli
fermer chiudere
espagne spagna
notion nozione
mw mw
groenland groenlandia
johnston johnston
intentions intenzioni
anthropologie antropologia
fusils fucili
zéro zero
horn horn
termine conclude
voyages viaggi
chambre camera
utilisait utilizzava
explicite esplicita
quitte lascia
partagent condividono
awards awards
constantin costantino
johnny johnny
incapable incapace
scientifiques scientifici
charité carità
prendre prendere
archiduc arciduca
formant formando
démonstration dimostrazione
restaurer ripristinare
réfléchir riflettere
mail mail
chacune ognuna
défaite sconfitta
middle middle
nasa nasa
mans imola
acceptation accettazione
métro metropolitana
theatre theatre
synonymes sinonimi
tournée tournée
lendemain indomani
membre membro
wikipédien wikipediano
intervenir intervenire
cahiers quaderni
nomma nominò
aventures avventure
nr nr
mobiles mobili
oratoire oratorio
illustres illustri
efficacité efficacia
stable stabile
bat batte
mourir morire
bradley bradley
individus individui
dublin dublino
pourra potrà
tendances tendenze
intelligence intelligenza
missouri missouri
prévention prevenzione
commissaire commissario
honneur onore
ba ba
ken ken
front fronte
christophe massimiliano
en in
scènes scene
occidentaux occidentali
pleine piena
obscur oscuro
interprétations interpretazioni
enfance infanzia
laboratoires laboratori
patients pazienti
affection affetto
installés installati
plume penna
featuring featuring
comète cometa
fixe fissa
notoriété notorietà
caractère carattere
fondation fondazione
neige neve
ya ya
usines fabbriche
cloud cloud
tourisme turismo
years years
historique storica
finistère veneto
spécialiste specialista
fortune fortuna
total totale
blues blues
écrites scritte
évidence evidenza
morte morta
humains umani
char carro
bond bond
indispensable indispensabile
détermine determina
procéder procedere
nu nudo
magnus magnus
irving irving
guitar guitar
aigu acuto
écrivait scriveva
unis uniti
fameuse famosa
dédiées dedicate
colonne colonna
propositions proposte
toi ti
sensiblement sensibilmente
présenter presentare
auraient avrebbero
zur zur
honor honor
détient detiene
berline berlina
pourrait potrebbe
about about
acteurs attori
intérim interim
vancouver vancouver
appliquée applicata
libéral liberale
définitivement definitivamente
\delta \delta
street street
wales wales
book book
ancêtres antenati
constructeur costruttore
western western
regardant guardando
inversement viceversa
podiums podi
prévus previsti
ryan ryan
ninja ninja
électronique elettronica
lord lord
potentiel potenziale
king king
montagnes montagne
ascension ascensione
peace peace
riz riso
mises messe
actions azioni
impression impressione
japonaise giapponese
still still
au al
commerciaux commerciali
souveraineté sovranità
fermeture chiusura
cordes corde
éloignée lontana
hello hello
stein stein
douze dodici
utiliser usare
tellement talmente
vers verso
pèlerinage pellegrinaggio
rubin rubin
animatrice conduttrice
moulin mulino
respecter rispettare
boue fango
racines radici
that that
poing pugno
blanco blanco
ion ion
béton calcestruzzo
visiter visitare
florian florian
wings wings
créées create
graves gravi
conférences conferenze
million milione
fournit fornisce
athènes atene
fans fan
casterman arnoldo
votre vostra
substrat substrato
alban zeno
kelly kelly
chartreuse certosa
pietro guillaume
prévu previsto
aaron aaron
américa américa
stratégie strategia
typique tipico
langage linguaggio
présentée presentata
détail dettaglio
pu potuto
attaqué attaccato
expliquer spiegare
aveugle cieco
construit costruito
quotidienne quotidiana
humides umide
balkans balcani
dialectes dialetti
multiples molteplici
réveil risveglio
books books
game game
publicitaire pubblicitario
sorcier stregone
saintonge basilicata
estampes stampe
linux linux
gate gate
domestique domestica
nécropole necropoli
fille figlia
victoires vittorie
monnaies monete
crête cresta
retira ritirò
mosaïque mosaico
cold cold
surnom soprannome
membres membri
miracle miracolo
coups colpi
récompensé premiato
châteaux castelli
raconte racconta
congrégation congregazione
célébrités celebrità
crazy crazy
beauvais pisa
timeaxis timeaxis
fonctionner funzionare
ministère ministero
vitrail affresco
saisons stagioni
moyennes medie
aujourd oggi
fondamental fondamentale
tient tiene
une una
wii wii
passage passaggio
techniciens tecnici
virtuel virtuale
précisé specificato
promu promosso
privée privata
pologne polonia
réalisation realizzazione
registre registro
vérité verità
usage uso
scolaire scolastico
palme palma
éruption eruzione
scott scott
australiens australiani
publics pubblici
sportifs sportivi
nbc nbc
clemenceau cavour
go go
marier sposarsi
was was
secteur settore
philosophique filosofica
absolue assoluta
reynolds reynolds
joue gioca
falls falls
magnifique magnifico
subir subire
convaincre convincere
distance distanza
variations variazioni
peintes dipinte
catholique cattolica
diplôme diploma
bases basi
chars carri
épouser sposare
différente differente
confessions confessioni
files files
peux posso
~ ~
élisabeth elisabetta
pèlerins pellegrini
mémoires memorie
mister mister
parfait perfetto
majoritairement prevalenza
avions velivoli
courir correre
concert concerto
colonie colonia
french french
assassiné assassinato
croissante crescente
technicien tecnico
définition definizione
melbourne melbourne
title title
arménien armeno
collaborations collaborazioni
rester rimanere
comté contea
mélodies melodie
prêtres sacerdoti
buenos buenos
acquise acquisita
sociologue sociologo
joueur giocatore
émission trasmissione
→ →
papa papà
personnelles personali
giants giants
bâton bastone
sera verrà
mystérieuse misteriosa
actes atti
croisade crociata
graphique grafico
excellente ottima
acide acido
étais ero
anneau anello
hit hit
élimination eliminazione
tireur tiratore
utrecht utrecht
déroulement svolgimento
trouvées trovate
comprennent comprendono
lycée liceo
contrôle controllo
pouvait poteva
up up
voulant volendo
élection elezione
rice rice
nommer nominare
évènement evento
leçons lezioni
salle sala
faciles facili
plante pianta
soviétiques sovietici
bulgare bulgaro
arrondissement circondario
cage gabbia
concept concetto
pistes piste
italiens francesi
sec secco
abbaye abbazia
motor motor
murder murder
certain certo
répertoire repertorio
direction direzione
gand gand
henrik henrik
élus eletti
liège liegi
maîtres maestri
bill bill
tradition tradizione
peuples popoli
kong kong
remportent vincono
banque banca
hitler hitler
repousser respingere
bakou baku
cône cono
serpent serpente
composantes componenti
von von
semblait sembrava
pneumatiques pneumatici
bohême boemia
bits bit
jin jin
green green
han han
af af
selon secondo
lucy lucy
byzantin bizantino
secondes secondi
supervision supervisione
domaines ambiti
chasseurs cacciatori
augmente aumenta
couple coppia
remplace sostituisce
ottoman ottomano
fumée fumo
attitude atteggiamento
otages ostaggi
june june
kilomètre chilometro
sporting sporting
internationales internazionali
tchécoslovaquie cecoslovacchia
malcolm malcolm
burns burns
précieuses preziose
juives ebraiche
poussée spinta
présentées presentate
champignon fungo
extérieure interna
lopez lopez
placées collocate
sorte sorta
insérer inserire
carter carter
accède accede
imprimé stampato
monastère monastero
motifs motivi
kw kw
quantité quantità
mission missione
stern stern
julio julio
have have
rend rende
jay jay
inspirés ispirati
_ _
. .
indépendants indipendenti
limitrophe confina
définitif definitivo
fermé chiuso
sommeil sonno
naît nasce
destinée destinata
buste busto
présidents presidenti
este este
décidé deciso
chapelles cappelle
communiste comunista
dispositif dispositivo
joie gioia
collins collins
morales morales
storia histoire
libération liberazione
oracle oracolo
soupçons sospetti
financiers finanziari
accepta accettò
seattle seattle
danube danubio
vanessa vanessa
critiqué criticato
garage garage
smith smith
livre libro
icône icona
republic republic
centrales centrali
composer comporre
décidée decisa
duke duke
historical historical
posséder possedere
sound sound
créa creò
tomba cadde
protestants protestanti
wa wa
ordinateur computer
souligner sottolineare
vitesse velocità
ondes onde
dr dr
réguliers regolari
envers confronti
highway highway
colonies colonie
suffisante sufficiente
mise messa
lightgrey lightgrey
best best
° °
ag ag
winston winston
spécialisé specializzato
birmanie birmania
apollon apollo
disparaît scompare
trouvés trovati
détecter rilevare
doigts dita
modifiée modificata
human human
television television
sentiments sentimenti
k k
forcée forzata
hostilités ostilità
stop stop
mitrailleuses mitragliatrici
richards richards
éclairage illuminazione
spirituel spirituale
andrews andrews
sans senza
musicaux musicali
lent lento
compétitions competizioni
für für
hérité ereditato
affronte sconfigge
katherine katherine
gouverneur governatore
ferrer ferrer
livrer consegnare
polonaise polacca
nintendo nintendo
animation animazione
maximale massima
fight fight
ronald ronald
bénéfice beneficio
représenter rappresentare
pictures pictures
din din
expédition spedizione
cherchant cercando
former formare
bros bros
agit tratta
princess princess
nid nido
magicien mago
inconnue sconosciuta
exemple esempio
niger niger
obtenues ottenute
intellectuelle intellettuale
copenhague copenaghen
montgomery montgomery
il egli
black black
woman woman
propose propone
mayo mayo
européennes europee
fleurs fiori
littoral litorale
boxe pugilato
harold harold
excepté eccetto
annulation annullamento
alliance alleanza
order order
theodore theodore
exclusion esclusione
passions passioni
connues conosciute
eds eds
nomades nomadi
amical amichevole
contiennent contengono
devra dovrà
amoureux innamorato
retrait ritiro
dehors fuori
avoue confessa
partout ovunque
inclus incluso
accent accento
déclinaison declinazione
complètes complete
rodriguez rodriguez
menées condotte
musiciens musicisti
staff staff
jessica jessica
libérée liberata
jersey jersey
dépend dipende
planètes pianeti
réveille risveglia
parlementaire parlamentare
remplacement sostituzione
fonctionnant funzionante
spécifique specifica
apple apple
sub sub
chroniques cronache
op op
transfert trasferimento
produit prodotto
contrôlée controllata
barney barney
époques epoche
consortium consorzio
chorégraphe coreografo
ethnie etnia
composent compongono
action azione
symphonie sinfonia
iranien iraniano
aléatoire casuale
émet emette
league league
year year
ue ue
ahmed ahmed
capture cattura
women women
innocence innocenza
theory theory
exercice esercizio
furent furono
ironie ironia
prophète profeta
herman herman
jordan jordan
ip ip
tensions tensioni
girls girls
tourné girato
taxes tasse
sensation sensazione
occupent occupano
glory glory
agrandissement ampliamento
comédie commedia
adventures adventures
suprême suprema
c c
island island
révision revisione
contribue contribuisce
tonnes tonnellate
uci uci
représente rappresenta
renard volpe
botaniste botanico
cycle ciclo
fonctionnaire funzionario
caracas caracas
faces facce
conquis conquistati
