manovre manœuvres
liberali libéraux
lettonia lettonie
fari phares
scultura sculpture
aver avoir
diresse dirigea
clark clark
madison madison
estrazione extraction
fredda froide
totalmente totalement
bella belle
attraversare traverser
rimangono restent
assunse prit
las las
esterne extérieures
caduta chute
difficilmente difficilement
spagnola espagnole
baviera bavière
impegnata engagée
scultore sculpteur
funk funk
personalmente personnellement
cavo câble
terminal terminal
scalinata escalier
dispone dispose
quartiere quartier
compare apparait
monroe monroe
design design
carroll carroll
europei européens
dietro derrière
bratislava bratislava
dichiarata déclarée
san saint
numero nombre
faith faith
santos santos
council council
attivamente activement
individuale individuel
estero étranger
questo ce
guardiani gardiens
rapporti rapports
vedendo voyant
senso sens
amministrativa administrative
produttore producteur
holmes holmes
stessi mêmes
aiutare aider
montatore monteur
volo vol
tredici treize
rivalità rivalité
vendere vendre
pubblicate publiées
mattoni briques
decidere décider
feudo fief
big big
northern northern
prefisso préfixe
eye eye
amministratori administrateurs
eccezionale exceptionnel
eccezione exception
saragozza saragosse
arms arms
parzialmente partiellement
monster monster
gardner gardner
classificati classés
schema schéma
potter potter
ji ji
remix remix
wallace wallace
teorie théories
earl earl
club club
albert albert
imprenditori entrepreneurs
danza danse
guarigione guérison
research research
pietre pierres
fortezza forteresse
truth truth
fm fm
marittime maritimes
giovani jeunes
svedese suédois
jazz jazz
radicalmente radicalement
mao mao
frontiere frontières
corriere figaro
costretto contraint
ruiz ruiz
indonesia indonésie
unica seule
sceneggiatore scénariste
risoluzione résolution
reso rendu
etichette labels
rinnovato renouvelé
perù pérou
radice racine
little little
circostanze circonstances
migliore meilleure
baltimora baltimore
francese italien
sul sur
annessione annexion
por por
vacanze vacances
convegno colloque
protocollo protocole
parentela parenté
ricetta recette
view view
age age
candidati candidats
planet planet
porti ports
lì là
sorriso sourire
odissea odyssée
vinse remporta
murphy murphy
pezzi morceaux
wing wing
stabilendo établissant
migliorata améliorée
tromba trompette
natural natural
relazioni relations
nella dans
algoritmo algorithme
aeromobili aéronefs
royal royal
contributi contributions
dominante dominante
passati passés
conoscenza connaissance
scrivere écrire
toro taureau
samuel samuel
fiere foires
trasmessi diffusés
procedure procédures
copyright copyright
generare générer
sparare tirer
mercenari mercenaires
seriamente sérieusement
secoli siècles
abbattuto abattu
giuramento serment
attentato attentat
starr starr
sergej sergueï
arcipelago archipel
benedettini bénédictins
attirare attirer
copia copie
calcoli calculs
fire fire
erede héritier
bangkok bangkok
casualmente hasard
riceve reçoit
colombo colomb
grasso gras
povero pauvre
ribelle rebelle
correnti courants
collaborare collaborer
olio huile
rinascimento renaissance
coloniali coloniales
barriera barrière
informazioni informations
blocchi blocs
composta composée
maurizio yves
fiera foire
partire partir
micro micro
hr hr
data date
attore acteur
axel axel
problematiche problématiques
douglas douglas
era était
dispositivi dispositifs
artiglieria artillerie
midnight midnight
bombardamenti bombardements
troia troie
ritmica rythmique
impegnate engagées
vangelo évangile
oceano océan
spettro spectre
trazione traction
ladro voleur
demolito démoli
maria marie
secondarie secondaires
feltrinelli flammarion
considerato considéré
sam sam
dentro dedans
consecutive consécutives
bridge bridge
riuscito réussi
fritz fritz
magnetico magnétique
contrabbasso contrebasse
anelli anneaux
holding holding
pianure plaines
fotografica photographique
adventure adventure
setta secte
coefficiente coefficient
abbandono abandon
denti dents
civiltà civilisation
esposta exposée
estone estonien
fattore facteur
sfumature nuances
compagnia compagnie
studi études
cardiaco cardiaque
swing swing
inferno enfer
speed speed
precursore précurseur
animata animée
provenza sicile
rotazione rotation
sergente sergent
indipendentemente indépendamment
integrato intégré
positiva positive
altrui autrui
calabria limousin
tokyo tokyo
flag flag
multiple multiple
frederick frederick
offrire offrir
mutazione mutation
due deux
laterale latérale
trasporti transports
alimenti aliments
want want
virus virus
spostamento déplacement
panico panique
mese mois
community community
introduzione introduction
psicologico psychologique
uranio uranium
percy percy
warriors warriors
can can
tommy tommy
argento argent
ferite blessures
demone démon
celebrare célébrer
church church
partecipazioni participations
commercianti commerçants
fondare fonder
istante instant
provocato provoqué
disfatta déroute
essa elle
russia russie
blake blake
segnali signaux
fila rangée
con avec
stadio stade
talk talk
maschio mâle
bob bob
pechino pékin
obiettivo objectif
metallo métal
becco bec
correlate connexes
papa pape
palermo toulouse
paz paz
chiamata appelée
crisi crise
unità unité
urto choc
omega omega
collezionista collectionneur
paesaggio paysage
eredità héritage
distretti districts
sottoposti soumis
auf auf
saggezza sagesse
xbox xbox
conan conan
forbes forbes
imperatore empereur
morgan morgan
telefono téléphone
principio principe
percorre parcourt
ambasciata ambassade
composto composé
evil evil
dischi disques
dovette dut
north north
impiegati employés
svizzeri suisses
discendenza descendance
naval naval
vinile vinyle
scienze sciences
dittatura dictature
considerata considérée
agricolo agricole
diciamo disons
prontamente aussitôt
corso cours
formaggio fromage
interessato intéressé
martha martha
mangia mange
prosegue poursuit
atmosfera atmosphère
dire dire
ordinò ordonna
cv cv
belga belge
greci grecs
rus rus
superfici surfaces
consiglia conseille
antichità antiquité
spesso souvent
vivere vivre
perth perth
your your
consulenza expertise
mammiferi mammifères
padiglione pavillon
grosso gros
beatles beatles
plasma plasma
liberty liberty
concludere conclure
redazione rédaction
motto devise
adrian adrian
van van
invio envoi
studia étudie
diamond diamond
nucleari nucléaires
argentino argentin
pat pat
willis willis
tamburo tambour
confine frontière
vettori vecteurs
minima minimale
che qui
brown brown
pubblicato paru
rinforzi renforts
proponendo proposant
egida égide
umano humain
usi usages
fantastici fantastiques
rio rio
round round
serie série
difensiva défensive
molecola molécule
mvp mvp
profumo parfum
nemica ennemie
baker baker
divisione division
personaggio personnage
barone baron
corpo corps
pericolosa dangereuse
colonne colonnes
walt walt
trio trio
chimico chimiste
riparo abri
buffalo buffalo
bordo bord
im im
louisiana louisiane
choice choice
questione question
autunno automne
piccole petites
comandata commandée
dotazione dotation
stone stone
percussioni percussions
aus aus
fa faisant
bianco blanc
siano soient
tunisi tunis
sondaggio sondage
sottomissione soumission
wiki wp
minori mineurs
servizio service
atomica atomique
tara tara
sanzioni sanctions
compresa comprise
articolo article
compiere accomplir
pseudo pseudo
regionali régionaux
svolge déroule
solida solide
ostaggio otage
dignità dignité
conflitti conflits
aquileia toul
edizione édition
impronta empreinte
hanno ont
porto port
junior junior
dichiarazioni déclarations
sopravvissuti survivants
rico rico
considera considère
circoscrizioni circonscriptions
rafael rafael
registrato enregistré
ms ms
gallery gallery
formazioni formations
domani demain
avvento avènement
chimica chimie
