americana amerikanische
elizabeth elizabeth
fuga flucht
proximidades nähe
execução ausführung
produções produktionen
cantou sang
tropicais tropischen
circo zirkus
f f
subespécies unterarten
unidades einheiten
acompanhado begleitet
superar überwinden
gravidez schwangerschaft
utah idaho
gene gene
saído geholt
aeroportos flughäfen
beyond beyond
despeito ungeachtet
fã fan
eua usa
estaleiro werft
salt salt
aplicar anwenden
olha schaut
otomanos osmanen
pessoais persönlichen
lanka lanka
leigos laien
pittsburgh pittsburgh
dança tanz
equivalente äquivalent
tênis tennis
dream dream
étnicos ethnischen
baterista schlagzeuger
watch watch
vilas dörfer
manteve behielt
árabe arabisch
letters letters
ku ku
normandia normandie
border border
meus deinen
idéia idee
joan joan
mystery mystery
descreveu beschrieb
permaneceram blieben
amigos freunden
vampire vampire
reformas reformen
ganhar gewinnen
característico charakteristisch
fator faktor
apoiado unterstützt
link link
célula zelle
colega kollege
família familie
auguste auguste
amanda sandra
começando beginnend
side side
vampiro vampir
sofrimento leid
estádio stadion
dançarina tänzerin
quer will
tropas truppen
damasco damaskus
simulação simulation
→ →
disse sagte
iucn iucn
católica katholischen
culture culture
town town
autônoma autonomen
moon moon
enciclopédica enzyklopädische
pour pour
function function
geralmente meist
dr dr
cidade stadt
boca mund
noite nacht
peito brust
brigada brigade
fire fire
detroit detroit
oxford oxford
onde dort
propostas vorschläge
lucia lucia
profundos tiefen
ve ve
display display
ocorrida ereignete
tia tante
criação schaffung
arquitetura architektur
reflexão reflexion
permanentes ständigen
queijo käse
garantiu sicherte
batismo taufe
series series
energy energy
expressão ausdruck
fields fields
sir sir
jacqueline isabel
índia indien
clube klub
incompleto unvollständig
toneladas tonnen
automático automatische
erros fehlern
km/h km/h
transportar transportieren
down down
entre zwischen
michigan michigan
estudar studieren
stella stella
desenvolveram entwickelten
afc afc
mentor mentor
realismo realismus
restante restliche
passos schritten
tentou versuchte
project project
produziu produzierte
adicionalmente zusätzlich
exemplo beispiel
polêmicas kontroversen
ki ki
realizado durchgeführt
ruptura bruch
disputar antreten
codex codex
productions productions
proteger schützen
resultado resultat
equipado ausgerüstet
atuais derzeitigen
árvores bäume
decidiu entschied
capaz fähig
imprensa presse
divina göttlichen
high high
manuscritos handschriften
rogers rogers
única einzig
feliz glücklich
milagre wunder
escritor schriftsteller
via via
nutrição ernährung
comercializado vermarktet
humorista kabarettist
pan pan
jeanne jeanne
inteira ganze
exatamente genau
cool cool
canadian canadian
júlio julius
ecologia ökologie
death death
realmente tatsächlich
seguiram folgten
number number
verdadeira wahre
institut institut
nenhuma keine
encontrada vorkommt
dançar tanzen
var var
interna inneren
partes teile
titular berufen
municípios gemeinden
sabia wusste
álbuns alben
felix felix
interpretações interpretationen
condados countys
aceleração beschleunigung
ridículo lächerlich
desconhecidos unbekannten
educação erziehung
demissão entlassung
tu tu
match match
francos franken
coroação krönung
verão sommer
porsche porsche
hills hills
direta direkte
gramas gramm
monte berg
bolonha bologna
ela sie
máximo maximal
major major
conceito konzept
similares ähnliche
off off
mensagem nachricht
enorme enorme
rebaixado absteigen
jin jin
conflito konflikt
bruxa hexe
mar meer
borgonha burgund
special special
oriundo stammende
mediterrâneo mittelmeer
utilizados verwendeten
granito sandstein
petróleo erdöl
corre passiert
orgulho stolz
conquistar erringen
posição position
inspirado inspiriert
escuro dunkle
havana havanna
incorporar integrieren
mare mare
espero hoffe
palazzo palazzo
teólogo theologe
numerosos zahlreichen
zagueiro mittelfeldspieler
estatística statistik
processos prozessen
parceiro partner
gatos katzen
capitão kapitän
positivos positiven
fatores faktoren
distribuído vertrieben
business business
vídeos videos
marx marx
work work
citou zitierte
bandas bands
pertence gehört
adotado durchgesetzt
graus grad
séries serien
prof prof
fatal tödliche
alain alain
dramaturgo dramatiker
impedir verhindern
tripulação besatzung
intenção absicht
responde antwortet
manutenção wartung
pontes brücken
quatro vier
coronel oberst
dispõe verfügt
secret secret
playstation playstation
kosovo kosovo
jeffrey steven
experiências erfahrungen
soul soul
caos chaos
herman herman
conspiração verschwörung
temperaturas temperaturen
existiu existierte
heróis helden
narra schildert
conseguiram gelang
sydney sydney
assento sitzen
ferido verwundet
toscana toskana
industrialização industrialisierung
maine maine
victoria victoria
onze elf
estadunidense amerikanischer
séculos jahrhunderte
voto votum
erik sven
medalha goldmedaille
acesso zugang
mk mk
– –
turca türkische
citados zitierten
proposta vorschlag
impulso impulse
tour tour
memory memory
le le
observatório observatorium
exceções ausnahmen
junior junior
considera betrachtet
futebol fußball
correções korrekturen
metrô stadtbahn
comunidades gemeinschaften
buenos buenos
leipzig leipzig
chamados sogenannten
suzuki suzuki
promete verspricht
manifestantes demonstranten
dores schmerzen
saturn saturn
número zahl
variáveis variablen
anjos engel
técnica technik
comprado gekauft
sucessor nachfolger
conquistou errang
continua bleibt
natureza natur
moscou moskau
seguidores anhänger
atlântico atlantik
entendido verstanden
el el
avaliar beurteilen
empresa unternehmens
utiliza nutzt
componente komponente
histórias geschichten
pequeno kleines
cientista wissenschaftler
split split
lituânia litauen
produtores produzenten
abuso missbrauch
fome hunger
nacionais nationalen
tradicionalmente traditionell
lines lines
cada jedem
diferenças unterschiede
império reiches
nota note
creta kreta
magic magic
pole pole
melhor beste
saxofone saxophon
restaurante restaurant
durante während
bienal biennale
significa bedeutet
começar beginnen
judith judith
einstein einstein
ódio hass
candidatura kandidatur
gps gps
hey hey
queria wollte
norma norm
democracia demokratie
permanente ständige
federation federation
ofensas beleidigungen
objeto objekt
bismarck bismarck
cinquenta fünfzig
globais globalen
state state
anteriormente zuvor
' '
king king
vejo sehe
atacado angegriffen
airbus airbus
filmes filmen
futuras zukünftige
barcelona barcelona
ninho nest
iron iron
á an
parada eins
normais normalen
ruas straßen
board board
colocado platziert
modificar ändern
reações reaktionen
notado beachtet
lotus lotus
verificação überprüfung
warner warner
pedra stein
heinz manfred
autoridades behörden
trabalho arbeit
manhattan manhattan
pretende beabsichtigt
tribos stämme
errada falscher
respectivos jeweiligen
fãs fans
lot lot
solução lösung
mas aber
shop shop
bottom bottom
earth earth
técnicas techniken
distribuídos verteilten
homer homer
game game
outros anderen
soa klingt
iraque irak
escravidão sklaverei
retratos porträts
existente vorhandene
comércio handel
lutar kämpfen
casou heiratete
popularidade popularität
limita grenzt
únicos einzigen
leis gesetze
começado begonnen
descrições beschreibungen
coordenação koordination
friends friends
jose jose
interesses interessen
motivos gründen
diretamente direkt
earl earl
chanceler kanzler
oficina werkstatt
suíço schweizer
nunca nie
cineasta filmregisseur
jul lit
exposições ausstellungen
situado gelegene
prince prince
protesto protest
ocean ocean
concorreu bewarb
selecionados ausgewählten
control control
sem ohne
radiação strahlung
lua mond
raças rassen
crise krise
poucos wenigen
discutido diskutiert
arredores nahegelegenen
alumínio aluminium
inteligência intelligenz
km² quadratkilometern
mecânica mechanik
esculturas skulpturen
reinado regierungszeit
deus gott
sindicato gewerkschaft
mans mans
exercido ausgeübt
aproximação annäherung
matar töten
vigilância überwachung
track track
transferiu wechselte
pedir bitten
publishing publishing
interrompido gestoppt
janelas fenstern
massas massen
dicionário wörterbuch
internacionalmente international
wright wright
acompanhamento begleitung
concílio konzil
blue blue
argumentação argumentation
sepultado beigesetzt
terá welcher
bravo wilde
volta zwischenzeit
combates kämpfe
acha sagt
racing racing
music music
coleções sammlungen
privilégios privilegien
hardware hardware
hugh hugh
lucky lucky
casa haus
edimburgo edinburgh
abu abu
c v
obtidos gewonnenen
gregos griechen
partida partie
revistas zeitschriften
novamente erneut
exílio exil
suprema oberste
sibéria sibirien
calor wärme
atenas athen
defesa verteidigung
intensa intensive
gigantes riesen
don don
cds cds
praga prag
fígado leber
bon bon
dan dan
spring spring
rodeado umgeben
pedras steine
viagens reisen
valores werten
resgate rettung
namíbia namibia
clientes kunden
ireland ireland
sd tr
nasce entspringt
quilômetros kilometern
mhz mhz
revolta aufstand
alternativas alternativen
enterprise enterprise
conferência konferenz
olá hallo
conquistas erfolge
order order
larvas larven
abandonado aufgegeben
leitura lektüre
oh oh
pacote paket
estratégias strategien
just just
verifica festzustellen
dínamo dynamo
construídos gebauten
ler lesen
zhang zhang
extremamente äußerst
management management
tabelas tabellen
visíveis sichtbaren
desaparecido verschwunden
miller miller
trans trans
constante konstant
prússia preußens
cat cat
engineering engineering
complete complete
carlo carlo
magia magie
gráfica grafische
autoridade autorität
ensino schuljahr
orgânicos organischen
distante entfernten
senador senator
possível möglich
anatomia anatomie
mentira lüge
derrota niederlage
astrônomos astronomen
anéis ringe
câmera kamera
centre centre
pontos punkte
recordings recordings
manchester manchester
enciclopédia enzyklopädie
químico chemiker
lago wasserfall
torres türme
absurdo unsinn
concentra konzentriert
bach bachs
praticado praktiziert
composição komposition
política politik
navarra navarra
diâmetro durchmesser
protege schützt
dinamarquesa dänische
money money
instalação installation
montanhas berge
dar geben
totalizando insgesamt
bico schnabel
resolvido gelöst
culturais kulturellen
which which
roger roger
park park
chinesa chinesische
united united
sínodo synode
corrida rennens
source source
impedindo verhindert
flora flora
su su
mills mills
expedições expeditionen
oito acht
fair fair
legal legal
maiores größten
públicas öffentliche
memorial memorial
muros mauern
cadeias ketten
abriu öffnete
campeão vizemeister
legião legion
dialeto dialekt
rápidos schnellen
peters peters
começou begann
escrito geschrieben
difícil schwierig
sen sen
melodias melodien
realização durchführung
jornais zeitungen
churchill churchill
championship championship
esperança hoffnung
pronunciado ausgesprochen
treinou trainierte
expedição expedition
